Station,Latitude,Longitude,Elevation,2024-04-02_g,2024-04-02_sd
3RDB,28.23467,-16.62983,2224.22,978962537.95,58.72
CAMI1,28.33028,-16.53201,1627.84,979083693.35,91.73
CAMI2,28.33115,-16.52385,1717.40,979063955.34,95.71
CAMI3,28.33688,-16.50580,1818.47,979038406.19,96.85
CAMI4,28.32787,-16.51052,1957.00,979010782.08,96.99
CAMI5,28.31970,-16.51381,2011.31,978997896.13,97.05
CAMI6,28.32062,-16.50240,2121.05,978969308.95,95.01
CAMI7,28.30779,-16.51820,2302.51,978924972.23,95.21
CAMI8,28.28733,-16.51275,2233.08,978949571.27,83.09
CAMI9,28.29729,-16.51136,2379.41,978907200.95,79.16
CARA,28.30684,-16.53621,2263.93,978939944.43,60.45
CHIP,28.37400,-16.46387,1946.81,978989124.39,9.33
FA00,28.28097,-16.51485,2222.58,978952501.80,161.03
FA01,28.28097,-16.51502,2222.79,978952718.70,150.80
FA02,28.28107,-16.51519,2223.42,978952726.39,139.84
FA03,28.28112,-16.51531,2223.88,978952710.84,127.94
FA04,28.28119,-16.51546,2225.16,978952684.06,114.82
FA05,28.28120,-16.51555,2225.31,978952645.19,99.99
FA06,28.28125,-16.51567,2225.43,978952627.46,82.54
FA07,28.28139,-16.51598,2226.54,978952723.87,60.20
FA08,28.28184,-16.51679,2234.14,978950949.94,60.19
FA09,28.27277,-16.51625,2197.44,978953286.36,74.89
FA10,28.25952,-16.51999,2080.88,978974966.15,86.64
FA11,28.27623,-16.50894,2146.05,978961210.94,88.13
FA12,28.26863,-16.49590,1782.48,979036076.85,102.76
FA13,28.25831,-16.48456,1390.78,979116894.95,126.36
FA14,28.26941,-16.48100,1433.62,979111988.54,115.79
FA15,28.25244,-16.45984,923.47,979209524.38,149.81
GUI00,28.30674,-16.43644,689.53,979269452.56,298.17
GUI01,28.32058,-16.43989,834.82,979240873.99,284.21
GUI02,28.31643,-16.45812,1376.76,979126584.01,250.89
GUI03,28.31872,-16.44779,1068.72,979191510.73,258.98
GUI04,28.34209,-16.45901,1496.88,979107695.21,234.40
GUI05,28.33991,-16.45189,1331.59,979140159.58,233.88
GUI06,28.33287,-16.45399,1209.93,979166693.51,233.25
GUI07,28.45425,-16.32690,625.41,979282026.27,262.57
GUI08,28.43513,-16.34009,667.76,979272201.62,252.83
GUI09,28.41125,-16.34804,536.00,979291895.06,253.92
GUI10,28.40470,-16.36276,525.27,979297824.53,249.93
GUI11,28.39123,-16.39134,674.33,979269278.16,232.01
GUI12,28.36296,-16.39383,405.12,979325392.92,248.68
GUI13,28.37274,-16.40756,761.74,979252472.91,210.93
GUI14,28.34176,-16.43677,842.84,979241615.87,198.70
GUI15,28.33500,-16.43631,818.92,979246064.43,192.44
GUI17,28.33046,-16.44814,1078.71,979193801.88,161.13
GUI18,28.32600,-16.45815,1391.93,979126780.71,123.19
GUI19,28.32841,-16.42687,599.31,979290187.49,188.33
GUI20,28.30477,-16.50154,2380.94,978903500.13,70.80
GUI21,28.30265,-16.49293,2301.91,978917248.94,80.07
GUI22,28.29914,-16.48964,2188.95,978945718.58,82.37
GUI23,28.29902,-16.47441,1948.03,978992063.79,83.44
GUI24,28.29693,-16.46007,1698.60,979041236.25,88.91
GUI25,28.29421,-16.44760,1446.59,979091419.75,98.74
GUI26,28.29289,-16.43225,1119.65,979160276.51,120.38
GUI30,28.31416,-16.49570,2228.21,978942149.84,82.33
GUI31,28.31633,-16.47239,1719.50,979056359.41,104.58
GUI32,28.31241,-16.48018,1837.42,979031708.46,114.98
GUI33,28.31464,-16.48716,1996.19,978997196.67,125.62
GUI34,28.32369,-16.48473,2093.44,978970610.80,137.83
IPNA_out,28.47956,-16.32038,607.71,979297091.66,183.43
IZAN,28.30915,-16.49975,2417.50,978891794.08,1.73
LM001,28.29210,-16.53971,2334.45,978930018.42,83.19
LM002,28.28821,-16.53996,2349.58,978926982.95,92.86
LM003,28.28939,-16.54212,2336.97,978929896.94,95.12
LM005,28.28944,-16.54643,2334.49,978930836.28,92.11
LM006,28.28712,-16.53803,2360.90,978922166.24,84.95
LM007_G1,28.29255,-16.54547,2329.68,978931005.83,61.50
LM008_G3,28.29257,-16.54496,2329.17,978931996.03,75.21
LM009_G5,28.29266,-16.54445,2329.44,978931986.41,82.06
LM010_G7,28.29274,-16.54395,2329.69,978931906.51,83.57
LM011_G9,28.29283,-16.54346,2330.15,978930877.03,80.21
LM012_G11,28.29300,-16.54296,2331.21,978930843.84,70.85
LM013_G13,28.29307,-16.54244,2332.06,978931036.73,60.94
LM014_G15,28.29316,-16.54195,2332.22,978930018.18,73.93
LM015_G17,28.29327,-16.54146,2332.89,978930021.47,78.92
LM016_G19,28.29339,-16.54097,2332.77,978929918.45,77.74
LM017_G21,28.29351,-16.54048,2333.28,978929851.71,70.02
MI00,28.47066,-16.37862,808.21,979259488.31,235.09
MI01,28.45834,-16.39391,954.86,979221088.04,214.00
MI02,28.46050,-16.41961,812.33,979248710.09,216.88
MI03,28.44795,-16.41976,949.11,979220139.11,198.19
MI04,28.43965,-16.43083,953.93,979213263.11,187.27
MI05,28.45050,-16.44163,650.23,979278255.21,206.75
MI06,28.43875,-16.45138,630.05,979282332.79,200.82
MI07,28.42322,-16.45561,735.62,979261668.42,182.62
MI09,28.41548,-16.47643,655.65,979276585.36,181.31
ORO00,28.41082,-16.54524,132.38,979395668.62,244.01
ORO01,28.41537,-16.51661,157.56,979390001.05,289.06
ORO02,28.40462,-16.51408,275.40,979364358.99,271.97
ORO03,28.40294,-16.50103,626.68,979283596.19,230.90
ORO04,28.37893,-16.49970,798.31,979257983.77,213.18
ORO05,28.38134,-16.53259,463.04,979328845.53,237.11
ORO06,28.38842,-16.54054,335.42,979354393.67,242.58
ORO07,28.40602,-16.53143,214.16,979379976.04,248.77
ORO08,28.41526,-16.52866,127.11,979397669.80,251.49
