fid,field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9,field_10,magnitude,distance_along_rift,distance_offset
"7",-155.0665,19.3756,,0.67107,-1.8806,0,false,"0",HALR,,1.997,22.881,18.695
"9",-155.1285,19.3149,,3.50446,-5.2477,0,false,"0",HOLE,,6.31,31.206,10.37
"10",-155.1214,19.2809,,3.52587,-5.6926,0,false,"0",KAEP,,6.696,31.705,9.871
"12",-155.1601,19.3413,,3.121,-3.5085,0,false,"0",KTPM,,4.696,33.415,8.161
"17",-155.1753,19.3847,,0.12783,-2.7098,0,false,"0",NUPM,,2.713,33.387,8.189
"20",-155.1941,19.3232,,3.53641,-6.2285,0,false,"0",PGF2,,7.162,37.443,4.133
"33",-154.9446,19.4239,,1.09714,-0.1516,0,false,"0",66YY,,1.108,9.037,32.539
"34",-155.2227,19.3608,,3.00366,-6.0241,0,false,"0",69FL,,6.731,38.954,2.622
"36",-155.0328,19.3987,,0.63911,-1.3346,0,false,"0",77FL,,1.48,18.708,22.868
"46",-155.016,19.3294,,2.69493,-3.1041,0,false,"0",EKUA,,4.111,19.49,22.086
"49",-154.9791,19.3459,,2.0132,-2.2952,0,false,"0",HAKU,,3.053,15.231,26.345
"50",-154.9902,19.4242,,0.70304,-0.6167,0,false,"0",HEIH,,0.935,13.565,28.011
"56",-155.0661,19.4059,,0.23433,-1.1223,0,false,"0",KALR,,1.147,21.767,19.809
"58",-155.1534,19.3818,,0.9054,-3.276,0,false,"0",KANE,,3.399,31.311,10.265
"72",-155.0868,19.2996,,3.95184,-5.2173,0,false,"0",LAEP,,6.545,27.596,13.98
"73",-154.8868,19.4725,,0.2449,-0.1213,0,false,"0",LANI,,0.273,1.567,40.009
"74",-155.1674,19.317,,3.50446,-5.6622,0,false,"0",M801,,6.659,35.005,6.571
"75",-154.8563,19.4447,,0.90542,-0.4246,0,false,"0",MALA,,1,0,41.576
"82",-154.9508,19.3724,,1.68309,-1.6582,0,false,"0",MOAN,,2.363,11.476,30.1
"85",-155.0799,19.3564,,2.38601,-2.9019,0,false,"0",MPOO,,3.757,24.895,16.681
"87",-155.2025,19.3504,,4.83595,-9.1304,0,false,"0",MULU,,10.332,37.313,4.263
"94",-155.1059,19.3196,,2.97188,-6.4003,0,false,"0",PANU,,7.057,28.789,12.787
"97",-155.1222,19.3952,,0.22369,-2.0424,0,false,"0",PKMN,,2.055,27.73,13.846
"102",-155.0293,19.357,,2.18363,-2.9019,0,false,"0",PULA,,3.632,19.837,21.739
